,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
43,False,,[],674164,en,Return of Chucky,"The fan movie follows the story of Andrew, a kid who finds a terrifying deteriorated Good Guy doll at the forest. Soon, a chain of blood is unleashed after several murders, which leaves the trail that the doll, named Chucky, is possessed, and will kill anyone who crosses in his way to complete his terrifying and dirty plan.",63.344,/oHBhzKR2QViBakHdVpQq7E0cyfa.jpg,2021-12-31,Return of Chucky,False,0.0,0
44,False,/lKkkogTlIQT8o83GFQZZ3CA9MzB.jpg,"[35, 10751, 14, 16]",6477,en,Alvin and the Chipmunks,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",59.319,/fONOOf3RmWnCKFwSl9e0z61KlZs.jpg,2007-12-13,Alvin and the Chipmunks,False,5.8,3537
45,False,/6ydGnzbo8s4yRNqQWPAvVSiNU8N.jpg,"[16, 12, 35, 10751, 878, 28]",501929,en,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",66.51,/mI2Di7HmskQQ34kz0iau6J1vr70.jpg,2021-04-22,The Mitchells vs. the Machines,False,8.1,1445
46,False,/4OTYefcAlaShn6TGVK33UxLW9R7.jpg,"[28, 12, 53]",476669,en,The King's Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",60.25,/nj5HmHRZsrYQEYYXyAusFv35erP.jpg,2021-12-22,The King's Man,False,0.0,0
47,False,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,"[28, 12, 14]",297802,en,Aquaman,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",60.398,/xLPffWMhMj1l50ND3KchMjYoKmE.jpg,2018-07-06,Aquaman,False,6.9,11129
48,False,/vwBa7djy1oxfxUjc7YtVgGNsjrT.jpg,"[14, 16, 12]",4935,ja,ハウルの動く城,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",58.713,/TkTPELv4kC3u1lkloush8skOjE.jpg,2004-11-19,Howl's Moving Castle,False,8.4,6861
49,False,/voi88IfoNAykXAEd0zrnczNM8LF.jpg,"[18, 36, 10749]",454527,fr,Benedetta,"In the late 17th century, with plague ravaging the land, Benedetta Carlini joins the convent in Pescia, Tuscany, as a novice. Capable from an early age of performing miracles, Benedetta’s impact on life in the community is immediate and momentous.",56.964,/7eJfB8ZwnspJV4IwREbRrfiyVag.jpg,2021-07-09,Benedetta,False,6.8,219
50,False,/3lf6YCItKcF3Wrrs7tp1PL0eyOT.jpg,"[35, 10751, 16, 14, 10402]",23398,en,Alvin and the Chipmunks: The Squeakquel,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",47.77,/8mdPqOga5fty15nXmaNcK1fsNMa.jpg,2009-12-21,Alvin and the Chipmunks: The Squeakquel,False,5.7,2270
51,False,/j8M9FjI1seC6OmUluDGkOZIwZt.jpg,"[35, 14, 10751, 10402, 16]",55301,en,Alvin and the Chipmunks: Chipwrecked,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",44.265,/wLGcgAObrOVSLKnrfoAKPmiMAxj.jpg,2011-12-14,Alvin and the Chipmunks: Chipwrecked,False,5.7,1683
52,False,/4RSN2vVKk7M9QhpQfomQjW1JDiU.jpg,[18],777270,en,Belfast,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",44.667,/3yD7Swwnk5n4OznZkoXcKhT8bO9.jpg,2021-11-11,Belfast,False,6.8,37
53,False,/8yhWlFcJ8zCqjfCvLy3lWFuawR1.jpg,[878],579047,en,Reminiscence,"Nicolas Bannister, a rugged and solitary veteran living in a near-future Miami flooded by rising seas, is an expert in a dangerous occupation: he offers clients the chance to relive any memory they desire. His life changes when he meets a mysterious young woman named Mae. What begins as a simple matter of lost and found becomes a passionate love affair. But when a different client's memories implicate Mae in a series of violent crimes, Bannister must delve through the dark world of the past to uncover the truth about the woman he fell for.",47.767,/17siH6wJRQ2jZiqz9BWUhy1UtZ.jpg,2021-08-19,Reminiscence,False,7.0,909
54,False,/2lBOQK06tltt8SQaswgb8d657Mv.jpg,"[10752, 18, 28, 53]",530915,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",43.188,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019-12-25,1917,False,8.0,8980
55,False,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,[18],550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",46.729,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999-10-15,Fight Club,False,8.4,22977
56,False,/mE0sGZ4CyzibmBG7FYan5CIKuag.jpg,"[18, 80, 53]",643532,en,The Card Counter,"William Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk, a vulnerable and angry young man seeking help to execute his plan for revenge on a military colonel. Tell sees a chance at redemption through his relationship with Cirk. But keeping Cirk on the straight-and-narrow proves impossible, dragging Tell back into the darkness of his past.",58.625,/y5DNLVg0gPiGSkuK4yFc4fjQ42Q.jpg,2021-09-03,The Card Counter,False,6.5,234
57,False,/x9ezMgOtDPqHatHDvxEG0ILb6Ie.jpg,"[9648, 53, 18]",210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",53.371,/qymaJhucquUwjpb8oiqynMeXnID.jpg,2014-10-01,Gone Girl,False,7.9,15034
58,False,/zsmTFn1Y2ulNd2njTjDbIhYwmkx.jpg,"[18, 35, 10749]",542178,en,The French Dispatch,"The quirky staff of an American magazine based in 1970s France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",43.679,/6JXR3KJH5roiBCjWFt09xfgxHZc.jpg,2021-10-21,The French Dispatch,False,7.4,670
