,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
54,False,/cCa3L42wXAkTVLg3vvvPjy6JU8d.jpg,[18],588182,fi,Hytti nro 6,"As a train weaves its way up to the arctic circle, two strangers share a journey that will change their perspective on life.",15.022,/xQoADB4Wh81KUEXyCR5uwwF5duA.jpg,2021-10-29,Compartment No. 6,False,6.0,3
55,False,/qLtREPyJgxewgK3l68epEQeHTVR.jpg,"[28, 80]",513692,cn,怒火,"Shan is a highly respected cop with a long history of success in dangerous cases, however, his past soon comes back to haunt him when his former protégé seeks revenge against all those who have wronged him.",21.828,/nD9zK3nfEUPHKWwFmAaQoLsQYE5.jpg,2021-08-13,Raging Fire,False,7.2,16
56,False,,"[10752, 18, 36]",597859,ru,Лётчик,"December of 1941, Northwestern Front. A German tank column is moving towards Moscow. During a mission to stop the enemy advance, Nikolai Komlev's IL-2 is shot down. Komlev manages to crash-land his plane in a remote forest clearing. He's alive, but far from friendly territory. Ahead of him is a relentless trial of severe physical and mental endurance. After battling hunger and extreme cold, evading packs of wolves and detachments of Nazi soldiers, the wounded Komlev finally makes it back to safety. But there he faces another challenge, the most life-changing of them all.",24.993,/msKnqw1OMiJnQQ7rOFh8Syglxfm.jpg,2021-11-04,The Pilot: A Battle for Survival,False,2.0,1
57,False,/AjykZQ9ncgyJoHpMTquDRUAv5VO.jpg,[18],592695,en,Pleasure,20-year-old Bella Cherry leaves her small town in Sweden for Los Angeles with the aim to become the world's next big porn star but the road to her goal turns out to be bumpier than she imagined.,21.32,/z3tgSCR2J7dNOq3Dz3WidOPoqnY.jpg,2021-10-08,Pleasure,False,6.0,11
58,False,/oKL8y3MoXtsEMVo2MlPiUaAHWJz.jpg,"[12, 35, 28]",604563,fr,OSS 117 : Alerte rouge en Afrique noire,The third entry in secret agent OSS 117's parodic spy adventures.,16.169,/6J0F1q9cJstqHbtaoS9nTQ4oCbx.jpg,2021-08-04,OSS 117: From Africa with Love,False,5.8,241
59,False,/f3QlognjrlLlJVHDJb1f0yLQxTL.jpg,"[18, 10749]",1791,fr,La Pianiste,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",16.037,/gNHKYQnP1RnqEhkivHJzBPb4MOP.jpg,2001-07-21,The Piano Teacher,False,7.4,723
60,False,/eDKxKtVKhqpXJS8NDZ3gr4Li1B7.jpg,"[18, 10749]",477044,en,Bergman Island,"An American filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.",15.669,/q8bQfC7SbaTDVKywhCiNL3ZVSyy.jpg,2021-07-14,Bergman Island,False,6.7,29
61,False,/l9dtWzUVsGTqmRh4NbiLJ5qeWr0.jpg,"[35, 27]",728054,en,Vicious Fun,A loser whose life is passing him by accidentally stumbles into a secret underground self-help group for serial killers. Stuck with only two options - kill or be killed - Joel must match wits with five killers and make it through the night alive.,24.242,/jCz4Pv0rilnkBgqwbe5Y3JT5899.jpg,2021-11-04,Vicious Fun,False,6.0,2
62,False,/wP28rWRjcD1994uSLXAg0MZmUK7.jpg,"[35, 18]",790496,ro,Babardeala cu bucluc sau porno balamuc,"Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure.",17.636,/zUTkjET8VUwvbvSHtn0Lou7xwyZ.jpg,2021-04-16,Bad Luck Banging or Loony Porn,False,6.8,40
63,False,/m7Y8uF8AS4Jyq6zP5CHgw2Hk4aU.jpg,"[80, 53, 18, 28]",818192,en,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",20.622,/etMxKseW67499tUJonLNHXTF538.jpg,2021-11-05,Ida Red,False,0.0,0
